id,name,ministry,description,category,beneficiaryGroups,eligibility,benefits,documentsRequired,applicationMode,officialUrl
kanyashree,"Kanyashree Prakalpa","Government of West Bengal","Improving the status and well-being of girls, specifically from socio-economically disadvantaged families.","[""education"",""social_welfare""]","[""student"",""woman""]","{""gender"": ""female"", ""ageMin"": 13, ""ageMax"": 19, ""isStudent"": true, ""incomeMax"": 120000}","[""Annual scholarship of Rs. 750"",""One-time grant of Rs. 25,000""]","[""Bank Account"",""Unmarried Certificate""]","offline","https://www.wbkanyashree.gov.in/"
lakshmir-bhandar,"Lakshmir Bhandar","Government of West Bengal","Basic income support for female heads of household.","[""social_welfare"",""finance""]","[""woman""]","{""gender"": ""female"", ""ageMin"": 25, ""ageMax"": 60}","[""Rs. 1000/month for SC/ST"",""Rs. 500/month for General""]","[""Swasthya Sathi Card"",""Aadhaar Card""]","offline","https://socialsecurity.wb.gov.in/"
udyogini,"Udyogini Scheme","Government of Karnataka","Encourages women entrepreneurship among the poor.","[""employment"",""finance""]","[""woman""]","{""gender"": ""female"", ""ageMin"": 18, ""ageMax"": 55, ""incomeMax"": 150000}","[""Subsidized loans for micro-enterprise""]","[""Income Certificate"",""Project Report""]","online","https://karnataka.gov.in/"
rythu-bandhu,"Rythu Bandhu","Government of Telangana","Investment support scheme for farmers.","[""agriculture"",""finance""]","[""adult""]","{""occupation"": [""farmer""]}","[""Rs. 5000 per acre per season""]","[""Pattadar Passbook"",""Aadhaar Card""]","online","http://rythubandhu.telangana.gov.in/"
pm-kisan,"PM-KISAN","Ministry of Agriculture & Farmers Welfare","Income support to all landholding farmer families.","[""agriculture"",""finance""]","[""adult""]","{""occupation"": [""farmer""]}","[""Rs. 6000 per year in three installments""]","[""Land Ownership Documents"",""Aadhaar Card""]","online","https://pmkisan.gov.in/"
kalia,"KALIA Scheme","Government of Odisha","Krushak Assistance for Livelihood and Income Augmentation.","[""agriculture"",""social_welfare""]","[""adult""]","{""occupation"": [""farmer""]}","[""Rs. 10,000 per family per year""]","[""Aadhaar Card"",""Bank Account""]","online","https://kalia.odisha.gov.in/"
nsap-ignolpsy,"IGNOAPS (Old Age Pension)","Ministry of Rural Development","Pension for elderly belonging to BPL households.","[""social_welfare"",""finance""]","[""senior_citizen""]","{""ageMin"": 60, ""incomeMax"": 50000}","[""Monthly pension based on state contribution (min Rs. 200)""]","[""BPL Card"",""Age Proof""]","offline","https://nsap.nic.in/"
nsap-ignwps,"IGNWPS (Widow Pension)","Ministry of Rural Development","Pension for widows belonging to BPL households.","[""social_welfare"",""finance""]","[""woman"",""adult""]","{""gender"": ""female"", ""maritalStatus"": ""widowed"", ""ageMin"": 40, ""ageMax"": 79}","[""Monthly pension""]","[""BPL Card"",""Death Certificate of Husband""]","offline","https://nsap.nic.in/"
sukanya-samriddhi,"Sukanya Samriddhi Yojana","Ministry of Finance","Small deposit scheme for the girl child.","[""finance""]","[""child"",""woman""]","{""gender"": ""female"", ""ageMax"": 10}","[""High interest rate"",""Tax benefits under 80C""]","[""Birth Certificate""]","offline","https://www.nsiindia.gov.in/"
post-matric-scholarship-sc,"Post Metric Scholarship for SC","Ministry of Social Justice","Financial assistance to SC students for post-matriculation education.","[""education"",""finance""]","[""student""]","{""caste"": [""sc""], ""incomeMax"": 250000, ""isStudent"": true}","[""Maintenance allowance"",""Reimbursement of fees""]","[""Caste Certificate"",""Income Certificate""]","online","https://scholarships.gov.in/"
merit-cum-means,"Merit-cum-Means Scholarship","Ministry of Minority Affairs","Financial assistance to poor and meritorious students of minority communities.","[""education"",""finance""]","[""student""]","{""incomeMax"": 250000, ""isStudent"": true}","[""Course fee reimbursement and maintenance allowance""]","[""Minority Certificate"",""Income Certificate""]","online","https://scholarships.gov.in/"
atal-pension,"Atal Pension Yojana","Ministry of Finance","Pension scheme for unorganized sector workers.","[""finance"",""social_welfare""]","[""adult""]","{""ageMin"": 18, ""ageMax"": 40}","[""Guaranteed minimum pension of Rs. 1000-5000 per month after age 60""]","[""Savings Bank Account"",""Aadhaar Card""]","online","https://www.npscra.nsdl.co.in/"
pm-svanidhi,"PM SVANidhi","Ministry of Housing and Urban Affairs","Special Micro-Credit Facility for Street Vendors.","[""employment"",""finance""]","[""adult"",""self_employed""]","{""occupation"": [""self_employed""]}","[""Collateral free working capital loan up to Rs. 10,000""]","[""Vending Certificate""]","online","https://pmsvanidhi.mohua.gov.in/"
stand-up-india,"Stand Up India","Ministry of Finance","Facilitate bank loans between 10 lakh and 1 Crore to SC/ST borrowers and women borrowers for greenfield enterprises.","[""finance"",""employment""]","[""adult"",""woman""]","{""ageMin"": 18}","[""Bank loans from 10 lakh to 1 crore""]","[""Project Report"",""Proof of Identity""]","online","https://www.standupmitra.in/"
pmegp,"PMEGP","Ministry of MSME","Credit-linked subsidy programme for generation of employment.","[""employment"",""finance""]","[""adult""]","{""ageMin"": 18}","[""Subsidy up to 35% of project cost""]","[""Project Report"",""EDP Training Certificate""]","online","https://www.kviconline.gov.in/"
skill-india,"Skill India Mission","Ministry of Skill Development","Training over 40 crore people in India in different skills.","[""education"",""employment""]","[""youth"",""adult""]","{}","[""Industry-relevant skill training""]","[""Aadhaar Card""]","both","https://www.skillindia.gov.in/"
digital-india-internship,"Digital India Internship","MeitY","Internship for students to secure first-hand and practical work experience under the guidance of qualified mentor.","[""education"",""employment""]","[""student""]","{""isStudent"": true}","[""Stipend of Rs. 10,000 per month""]","[""College Recommendation""]","online","https://www.meity.gov.in/digital-india-internship-scheme"
